City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Eregli,37.5133,34.0467,87.67,23,4,7.78,clear sky
1,Vanavara,60.34,102.2797,46.35,85,100,5.03,overcast clouds
2,Geraldton,-28.7667,114.6,50.41,93,0,6.91,clear sky
3,Meulaboh,4.1363,96.1285,78.31,87,100,5.41,light rain
4,Puro,12.4841,123.3827,80.15,79,99,1.72,overcast clouds
5,Roald,62.5833,6.1333,68.92,68,20,11.5,few clouds
6,Port Alfred,-33.5906,26.891,52.18,90,90,7.0,light rain
7,Hami,42.8,93.45,78.71,18,15,15.17,few clouds
8,Rikitea,-23.1203,-134.9692,73.4,74,57,13.94,broken clouds
9,King City,36.2127,-121.126,70.07,45,0,0.92,clear sky
10,Hermanus,-34.4187,19.2345,56.8,59,92,11.05,overcast clouds
11,Ancud,-41.8697,-73.8203,52.23,91,100,3.27,overcast clouds
12,Busselton,-33.65,115.3333,56.98,67,71,5.32,broken clouds
13,Ambilobe,-13.2,49.05,81.57,47,42,8.79,scattered clouds
14,Half Moon Bay,37.4636,-122.4286,60.71,92,100,10.36,mist
15,Noumea,-22.2763,166.4572,71.01,99,66,8.75,broken clouds
16,Waipawa,-41.4122,175.5153,53.1,82,39,17.87,scattered clouds
17,Hobart,-42.8794,147.3294,38.05,87,40,9.22,scattered clouds
18,Makakilo City,21.3469,-158.0858,77.32,73,0,10.36,clear sky
19,Klaksvik,62.2266,-6.589,50.92,88,100,18.48,light rain
20,Jamestown,42.097,-79.2353,78.51,58,0,3.44,clear sky
21,Awjilah,29.1081,21.2869,101.86,14,0,15.1,clear sky
22,Ushuaia,-54.8,-68.3,38.82,60,0,6.91,clear sky
23,Walvis Bay,-22.9575,14.5053,83.35,21,62,25.32,broken clouds
24,Dikson,73.5069,80.5464,43.02,80,100,8.37,overcast clouds
25,Hithadhoo,-0.6,73.0833,81.27,77,100,8.95,overcast clouds
26,Vao,-22.6667,167.4833,70.7,90,100,15.75,overcast clouds
27,Tasiilaq,65.6145,-37.6368,44.76,73,100,1.16,overcast clouds
28,Mataura,-46.1927,168.8643,48.47,99,100,1.45,light rain
29,Marawi,7.9986,124.2928,69.53,90,100,3.65,moderate rain
30,Bredasdorp,-34.5322,20.0403,56.19,55,92,12.39,overcast clouds
31,Ninghai,29.2892,121.4247,82.02,86,100,1.79,overcast clouds
32,Port Lincoln,-34.7333,135.8667,54.68,85,93,5.91,overcast clouds
33,Verkhniye Kigi,55.4083,58.6044,70.29,70,37,7.14,scattered clouds
34,Rio Gallegos,-51.6226,-69.2181,39.25,70,0,6.91,clear sky
35,Hay River,60.8156,-115.7999,62.58,77,7,8.05,clear sky
36,Saint George,37.1041,-113.5841,78.64,55,0,5.01,clear sky
37,Cape Town,-33.9258,18.4232,61.11,56,75,11.5,broken clouds
38,Talnakh,69.4865,88.3972,49.17,50,90,16.82,overcast clouds
39,Kodiak,57.79,-152.4072,54.91,94,100,5.75,overcast clouds
40,Upernavik,72.7868,-56.1549,38.3,62,7,4.38,clear sky
41,Tautira,-17.7333,-149.15,76.06,81,93,14.09,light rain
42,Cidreira,-30.1811,-50.2056,55.76,58,0,11.9,clear sky
43,Vilhena,-12.7406,-60.1458,64.62,45,0,14.97,clear sky
44,New Norfolk,-42.7826,147.0587,37.71,79,50,2.93,scattered clouds
45,Muros,42.7762,-9.0603,88.68,51,30,14.85,scattered clouds
46,Faanui,-16.4833,-151.75,77.67,73,51,16.15,broken clouds
47,Saint-Philippe,-21.3585,55.7679,72.99,79,16,14.72,few clouds
48,Fortuna,40.5982,-124.1573,57.92,92,97,5.08,overcast clouds
49,Chokurdakh,70.6333,147.9167,56.79,64,1,10.38,clear sky
50,Carnarvon,-24.8667,113.6333,70.45,43,0,9.4,clear sky
51,Badvel,14.75,79.05,87.82,52,100,9.31,overcast clouds
52,Shimoda,34.6667,138.95,77.11,89,100,6.08,overcast clouds
53,Punta Arenas,-53.15,-70.9167,39.22,87,0,4.61,clear sky
54,Sibolga,1.7427,98.7792,76.87,90,100,3.33,overcast clouds
55,Isangel,-19.55,169.2667,73.17,79,13,8.57,few clouds
56,Flin Flon,54.7682,-101.865,69.64,78,20,5.75,few clouds
57,Nikolskoye,59.7035,30.7861,81.91,31,0,10.18,clear sky
58,East London,-33.0153,27.9116,56.34,67,0,27.63,clear sky
59,Atuona,-9.8,-139.0333,76.32,75,9,15.84,clear sky
60,Vostok,46.4856,135.8833,47.84,93,15,5.59,moderate rain
61,Qaanaaq,77.484,-69.3632,36.75,52,95,5.93,overcast clouds
62,Mahebourg,-20.4081,57.7,73.69,73,75,12.66,broken clouds
63,Carauari,-4.8828,-66.8958,76.01,59,83,6.2,broken clouds
64,Ilulissat,69.2167,-51.1,41.02,56,75,6.91,broken clouds
65,Arraial Do Cabo,-22.9661,-42.0278,67.86,60,100,8.05,overcast clouds
66,Kapaa,22.0752,-159.319,76.1,88,40,10.36,scattered clouds
67,Hamilton,39.1834,-84.5333,77.88,80,0,9.22,clear sky
68,Oceanside,33.1959,-117.3795,70.38,86,100,6.91,overcast clouds
69,Rawson,-43.3002,-65.1023,52.09,66,40,5.75,light rain
70,Beyneu,45.3167,55.2,80.71,18,26,18.19,scattered clouds
71,Te Anau,-45.4167,167.7167,43.92,92,98,2.33,overcast clouds
72,Komsomolskiy,40.4272,71.7189,83.12,16,5,2.3,clear sky
73,Ahipara,-35.1667,173.1667,56.28,92,19,5.61,few clouds
74,Tuktoyaktuk,69.4541,-133.0374,41.0,87,100,4.61,light rain
75,Dicabisagan,17.0818,122.4157,79.9,85,40,2.01,light rain
76,Padang,-0.9492,100.3543,76.73,92,100,2.55,overcast clouds
77,Kavieng,-2.5744,150.7967,80.65,80,100,13.0,light rain
78,Zhigansk,66.7697,123.3711,47.64,92,100,11.92,moderate rain
79,Caravelas,-17.7125,-39.2481,78.13,58,0,10.31,clear sky
80,Saint-Leu,-21.15,55.2833,72.46,66,2,5.61,clear sky
81,Sabang,5.8933,95.3214,83.05,77,85,17.45,overcast clouds
82,Butaritari,3.0707,172.7902,80.55,75,14,6.29,light rain
83,Sevierville,35.8681,-83.5618,78.78,76,75,0.0,broken clouds
84,Kande,9.9578,1.0447,78.37,80,100,9.42,light rain
85,Hasaki,35.7333,140.8333,77.4,87,100,7.9,overcast clouds
86,Jiuquan,39.7432,98.5174,82.22,24,64,13.04,broken clouds
87,Bluff,-46.6,168.3333,48.79,94,100,6.78,light rain
88,Khatanga,71.9667,102.5,41.43,63,11,3.85,few clouds
89,Avarua,-21.2078,-159.775,75.25,88,75,13.8,broken clouds
90,Albany,42.6001,-73.9662,81.95,65,87,2.53,overcast clouds
91,Sinnamary,5.3833,-52.95,85.71,66,100,9.93,overcast clouds
92,Berlevag,70.8578,29.0864,71.55,64,40,13.8,scattered clouds
93,Buala,-8.145,159.5921,78.84,84,100,7.72,overcast clouds
94,Bakchar,57.0186,82.0711,58.32,62,100,4.72,overcast clouds
95,Hollola,61.05,25.4333,77.65,49,51,14.47,broken clouds
96,Sitka,57.0531,-135.33,55.29,94,100,3.44,overcast clouds
97,Vaini,-21.2,-175.2,71.46,72,8,19.98,clear sky
98,Hilo,19.7297,-155.09,74.28,68,0,6.91,clear sky
99,Vila Franca Do Campo,37.7167,-25.4333,73.81,64,0,4.56,clear sky
100,San Juan,-31.5375,-68.5364,57.31,19,2,1.57,clear sky
101,Sistranda,63.7256,8.834,57.16,83,100,9.22,overcast clouds
102,Freistadt,48.511,14.5045,63.41,92,100,7.43,overcast clouds
103,Turukhansk,65.8167,87.9833,45.21,95,100,6.64,overcast clouds
104,Gazanjyk,39.2446,55.5154,91.6,13,0,20.71,clear sky
105,Yellowknife,62.456,-114.3525,57.72,94,20,11.5,few clouds
106,Samarai,-10.6167,150.6667,78.13,80,71,11.54,broken clouds
107,Grahamstown,-33.3042,26.5328,45.95,71,59,25.26,light rain
108,Paidha,2.4167,30.9855,69.62,81,40,4.97,moderate rain
109,Thompson,55.7435,-97.8558,68.16,77,20,6.91,few clouds
110,Bengkulu,-3.8004,102.2655,76.98,90,100,5.19,overcast clouds
111,Emerald,-23.5333,148.1667,55.35,59,0,13.29,clear sky
112,Cherskiy,68.75,161.3,54.18,48,0,11.32,clear sky
113,Lavrentiya,65.5833,-171.0,41.88,89,62,8.3,broken clouds
114,Sao Joao Da Barra,-21.6403,-41.0511,66.29,71,100,19.1,overcast clouds
115,Tashtyp,52.7939,89.8983,44.24,95,100,4.12,overcast clouds
116,Ribeira Grande,38.5167,-28.7,77.4,78,40,4.61,scattered clouds
